game_year,Ground Ball,Line Drive,Fly Ball,Pop Up
2015,48.14570497513094,21.123527316384553,22.822143356597227,7.908624351887278
2016,41.23326263809312,20.23941417914385,26.534983592373358,11.992339590389669
2017,39.67071343751722,21.387092087001395,26.907602350901634,12.03459212457975
2018,40.027532191294064,21.06958090438776,26.794189415512452,12.10869748880573
2019,39.78328481006369,21.115074672840546,27.248879658979124,11.852760858116634
2020,40.54005446791018,15.963979240532348,26.747083911412567,16.748882380144906
2021,39.034963108367556,18.28697127015695,26.38806381348417,16.290001807991324
2022,39.10409158363367,18.310366758532968,26.370998516005933,16.214543141827434
2023,39.282929317197976,18.170820635382288,26.286128568598443,16.260121478821294
2024,38.536938636306225,18.284898653485023,26.288199678318495,16.889963031890257
2025,38.10454302693263,18.49891065691203,26.312510066886514,17.084036249268827
