game_year,sweet_spot_rate
2015,33.85490190904653
2016,32.988298355016724
2017,34.55604936292169
2018,34.00126230624345
2019,34.20890509643379
2020,27.12861620677252
2021,30.17279231345404
2022,30.099511980021287
2023,30.070180614976078
2024,29.90699064853918
2025,30.351133001585268
