year,hand,n_pitches,n_pitchers,pct_of_total,ff_velo_mean,ff_velo_std,ff_spin_mean,ff_spin_std,ff_count
2015,L,189791,209,27.049279625567767,92.15373760130167,2.706724177905125,2201.5586702375035,199.37826361982474,63918
2015,R,511858,527,72.95072037443224,93.45289611481026,2.8030959876026706,2251.6112094952064,198.97713922835877,185628
2016,L,185814,207,25.981721879491925,92.4717515256118,2.60555986135101,2244.2704142105345,178.7175215051029,64892
2016,R,529358,542,74.01827812050807,93.47911007751938,2.803466899621137,2274.3541739471148,178.34108191997566,193500
2017,L,184763,193,25.7327216409845,92.45766837596148,2.703081790853522,2235.2264681968854,176.8030221356555,63964
2017,R,533245,562,74.26727835901549,93.49222788683511,2.7716546458489195,2268.5373272337943,168.77965505669312,184969
2018,L,204169,206,28.430962984005504,92.1568477599537,2.620243116897297,2235.316255046307,163.40510308463377,67387
2018,R,513953,593,71.5690370159945,93.50148120608648,2.6934963148787214,2277.3273593344184,170.15182241043695,185592
2019,L,202017,215,27.758739144773003,92.10338537574813,2.5052552189452686,2263.871810623161,175.76642179981843,70007
2019,R,525743,616,72.241260855227,93.84929490792689,2.5174697575311726,2297.841714935871,173.69186160111556,193379
2020,L,71009,195,26.94225223857945,92.00487502499497,2.7336910101055545,2284.5120215503375,217.3020217265313,25005
2020,R,192551,541,73.05774776142054,93.86870528952144,2.533630859341654,2311.623925458371,217.5662836925719,66679
2021,L,210152,239,29.620316679962677,92.68067569950225,2.6257748767166107,2250.3918615566713,178.17393162021096,73731
2021,R,499334,670,70.37968332003732,94.11989709752173,2.351618443657522,2283.312819329717,182.84482094976866,178227
2022,L,193732,217,27.357248967741572,93.00667922563254,2.4863935288828545,2244.4825808035853,171.56108516954703,65292
2022,R,514424,654,72.64275103225842,94.27465817844086,2.467578465866423,2286.1025731738955,166.17936589198564,170118
2023,L,189298,217,26.37663671337782,93.12262815020773,2.510573003185066,2242.0293472432118,164.82819842564638,61861
2023,R,528375,646,73.62336328662218,94.54561661895883,2.34401191078669,2297.5055376962946,164.21936977162315,168386
2024,L,190100,221,26.851685751939016,93.26694652338003,2.4729800233179615,2266.820670938318,165.88171067735874,62532
2024,R,517863,634,73.14831424806098,94.68298555278696,2.3344635005860113,2309.466574228138,165.23817152811847,162938
2025,L,192896,213,27.19591474771001,93.08955615732638,2.429724356308698,2270.459764410032,164.83350276853935,60562
2025,R,516387,660,72.80408525228998,95.00926827794562,2.3662048498860946,2342.1113177937605,156.55656587446146,165500
