metric,value
LHP Pitch Percentage (2015),27.0%
LHP Pitch Percentage (2025),27.2%
LHP Percentage Change,+0.1%
LHP 4-Seam Velocity (All Years),92.62 mph
RHP 4-Seam Velocity (All Years),94.01 mph
Velocity Difference (RHP-LHP),+1.39 mph
Velocity Cohen's d,0.532 (medium)
Total LHP Pitches,"679,151"
Total RHP Pitches,"1,854,916"
