year,hand,pitch_type,count,pct
2015,L,FF,63918,33.678098539972915
2015,L,SI,46316,24.4036861600392
2015,L,SL,25125,13.238246281435895
2015,L,CU,14640,7.7137482810038405
2015,L,CH,24548,12.934227650415457
2015,R,FF,185628,36.265526767189336
2015,R,SI,103002,20.123159157422567
2015,R,SL,74961,14.64488197898636
2015,R,CU,38202,7.46339805180343
2015,R,CH,49608,9.691750446412872
2016,L,FF,64892,34.9230951381489
2016,L,SI,43433,23.37444971853574
2016,L,SL,24041,12.938207024228529
2016,L,CU,14977,8.060210748382792
2016,L,CH,22775,12.25688053645043
2016,R,FF,193500,36.553712232553394
2016,R,SI,100961,19.07234801400942
2016,R,SL,80425,15.19293181551993
2016,R,CU,46164,8.720752307512118
2016,R,CH,49732,9.394776313950105
2017,L,FF,63964,34.61948550304985
2017,L,SI,39906,21.598480215194602
2017,L,SL,25455,13.77710905321953
2017,L,CU,14026,7.591346752325953
2017,L,CH,23328,12.625904537163827
2017,R,FF,184969,34.687432606025375
2017,R,SI,110508,20.72368235989086
2017,R,SL,84451,15.837185533854045
2017,R,CU,40834,7.657643297171093
2017,R,CH,47331,8.876032592898198
2018,L,FF,67387,33.005500345302174
2018,L,SI,43438,21.275511953332778
2018,L,SL,28007,13.717557513628414
2018,L,CU,18259,8.943081466824053
2018,L,CH,26087,12.777160097762147
2018,R,FF,185592,36.110694946814206
2018,R,SI,96708,18.816506567721174
2018,R,SL,85794,16.692966088338817
2018,R,CU,37191,7.236264794640755
2018,R,CH,48317,9.401054181997187
2019,L,FF,70007,34.65401426612612
2019,L,SI,34534,17.094600949425047
2019,L,SL,29062,14.385918016800566
2019,L,CU,18882,9.34673814579961
2019,L,CH,27052,13.390952246593107
2019,R,FF,193379,36.78203989401666
2019,R,SI,82819,15.752753721875518
2019,R,SL,91490,17.402038638650446
2019,R,CU,42253,8.03681646736143
2019,R,CH,51803,9.853293339140986
2020,L,FF,25005,35.21384613218043
2020,L,SI,11192,15.761382359982537
2020,L,SL,9852,13.874297624244814
2020,L,CU,6040,8.505964032728246
2020,L,CH,10301,14.506611837936036
2020,R,FF,66679,34.629267051326664
2020,R,SI,29643,15.394882394794108
2020,R,SL,34237,17.780743802940517
2020,R,CU,15328,7.9604883900888606
2020,R,CH,20391,10.589921631152265
2021,L,FF,73731,35.08460542845179
2021,L,SI,33641,16.007937112185466
2021,L,SL,32260,15.350793711218547
2021,L,CU,14385,6.845045490882789
2021,L,CH,29743,14.153089192584414
2021,R,FF,178227,35.6929430000761
2021,R,SI,74545,14.928885275186548
2021,R,SL,89350,17.893834587670778
2021,R,CU,37692,7.54845454144921
2021,R,CH,50284,10.07021352441452
2022,L,FF,65294,33.703260173848406
2022,L,SI,31201,16.105238164061696
2022,L,SL,30250,15.614353849647966
2022,L,CU,15867,8.19018024900378
2022,L,CH,27839,14.369851134557015
2022,R,FF,170123,33.07057991073511
2022,R,SI,77686,15.101550471984199
2022,R,SL,88537,17.210899958011293
2022,R,CU,36657,7.125833942428813
2022,R,CH,51483,10.007892322286674
2023,L,FF,61861,32.67916195628057
2023,L,SI,31060,16.407991632241227
2023,L,SL,27803,14.687424061532612
2023,L,CU,13958,7.373559150123087
2023,L,CH,26431,13.962640915382096
2023,R,FF,168387,31.868843151171045
2023,R,SI,80146,15.168393659806009
2023,R,SL,87621,16.583108587650816
2023,R,CU,33527,6.345303998107404
2023,R,CH,51436,9.73475277974923
2024,L,FF,62532,32.894266175697
2024,L,SI,33161,17.443976854287214
2024,L,SL,24868,13.081536033666492
2024,L,CU,13149,6.916885849552868
2024,L,CH,26099,13.729089952656496
2024,R,FF,162938,31.463533791755733
2024,R,SI,78565,15.1710008245424
2024,R,SL,82744,15.977971007776187
2024,R,CU,31529,6.088289760033059
2024,R,CH,46079,8.897913154637424
2025,L,FF,60562,31.396192767086927
2025,L,SI,31663,16.414544625082947
2025,L,SL,28425,14.735919873921699
2025,L,CU,14847,7.6968936629064375
2025,L,CH,25292,13.111728599867286
2025,R,FF,165502,32.049993512617476
2025,R,SI,78465,15.194999099512573
2025,R,SL,76348,14.785035254566829
2025,R,CU,34799,6.73893804452862
2025,R,CH,47764,9.249651908355554
