pitch_type,pitch_name,slope,slope_ci_lower,slope_ci_upper,r_squared,p_value,direction,r2_interpretation,p_interpretation
FF,4-Seam Fastball,-0.43641575811026023,-0.6150268826108333,-0.2578046336096872,0.7181762601237454,0.000988725174179755,decreasing,strong,highly significant
SI,Sinker,-0.6538440365193348,-0.9077665447095613,-0.39992152832910827,0.7389163358116556,0.0006932092373944578,decreasing,strong,highly significant
FC,Cutter,0.2857413360505995,0.21997197338716004,0.35151069871403895,0.889587065828589,1.3396250990619522e-05,increasing,strong,highly significant
SL,Slider,0.08788084146472777,-0.09735943142127298,0.2731211143507285,0.087649406794898,0.37671328683952365,increasing,weak,not significant
ST,Sweeper,0.7701548006841136,0.5770841117063332,0.9632254896618939,0.8716620381107463,2.6579220509159358e-05,increasing,strong,highly significant
CU,Curveball,-0.14866562572967662,-0.24507343503196366,-0.05225781642738957,0.5037222504287027,0.014422727462678891,decreasing,strong,significant
CH,Changeup,0.036677957015779424,-0.07035508056326453,0.14371099459482337,0.04773134741008622,0.5186728164259604,increasing,weak,not significant
FS,Splitter,0.15631010012403002,0.07528908244889741,0.2373311177991626,0.613709232352927,0.004340077705668794,increasing,strong,very significant
