game_year,mean,median,std
2015,0.30462456298883456,0.2768761693383942,0.14618455336843048
2016,0.32198202471035003,0.2878214787957961,0.17479042481782603
2017,0.4264135306094914,0.4068308088706745,0.0974114915354013
2018,0.4027398592325479,0.3811174689900003,0.1590751652952187
2019,0.400156796798508,0.38198465289831585,0.08401531877828822
2020,0.2966530924746789,0.27466156939883024,0.08825600383652554
2021,0.3139985363482774,0.2898513405572759,0.10128809617088136
2022,0.31373157072281393,0.2908399729298172,0.09174347866735487
2023,0.3257214693349655,0.3102458675584311,0.08911022463201856
2024,0.31492476479874293,0.2939401120882649,0.09267329112906988
2025,0.31215678806084973,0.29224330746715654,0.09285345376614305
