pitcher,n_pitches,release_consistency,release_x_std,release_z_std
677651,106,0.1776358167100797,0.11383189320288377,0.08061984711240572
669330,342,0.1776424958710166,0.1184018538207238,0.05641441727045562
657006,246,0.18484355871369337,0.1146078792509248,0.08035473863999214
642216,171,0.18724477411975082,0.09282494593715254,0.07883595854134791
643511,978,0.1884723012548343,0.09532102460900384,0.100697149507299
642239,347,0.18965144793265754,0.11661041708251334,0.08941871849863092
641745,1113,0.19454134274721913,0.11406040248118543,0.08321575861567371
554431,127,0.19501861056753406,0.1127353043367273,0.08018562080122023
607067,2534,0.1950471346038075,0.10004693496553888,0.09383758551971029
701656,410,0.19529836682420829,0.13052981300457883,0.07744805641937778
668716,392,0.19611980914645497,0.10419279297253185,0.11327249696097871
641386,187,0.1964915663746767,0.11909422303409306,0.0875186139708939
628317,170,0.19702528456190666,0.1189959152469433,0.12963409373949006
669721,183,0.20109035932322178,0.11308938567126552,0.11379565259468634
623433,241,0.20183754748311136,0.14570946527625675,0.08353532228438634
669704,406,0.20270304086433735,0.14134979748712165,0.08839128989977783
661527,120,0.20315260370508903,0.12781277887041276,0.08626322819031945
701487,544,0.20453097478318255,0.14136691932572018,0.08087927284589418
573124,894,0.20462460322634435,0.12679248282763672,0.08081119961112392
663372,522,0.20480927174694816,0.15664577100555818,0.06162815512508789
