game_year,mean,median,std
2015,0.17576615163092113,0.14100240392240349,0.12661642320582192
2016,0.17176329652831568,0.14218968528248982,0.12644310934369096
2017,0.43320102155449125,0.4216123939870722,0.16235496001939037
2018,0.4329328316147114,0.42357613093392826,0.15425453260546207
2019,0.43259796435182024,0.4283474773599342,0.15503964705149367
2020,0.2018393057779822,0.18324018196293798,0.11757001356192029
2021,0.20990394457068162,0.18275464731562008,0.12755684817398025
2022,0.214170759558464,0.18830900640765913,0.12801631184055318
2023,0.21307267829411006,0.18386256811549934,0.1379642923673822
2024,0.20614314200293957,0.18315695241827007,0.12173611916789336
2025,0.20312478587543759,0.18478956786421963,0.11775071903151356
