inning,n,mean,std,se,ci_lower,ci_upper
1,332153,93.40586837993334,2.572378228780178,0.004463399244950168,93.39712011741324,93.41461664245344
2,290921,93.22648554074817,2.5355523373029025,0.004700943630509233,93.21727169123237,93.23569939026397
3,272505,93.12261903451314,2.5702373262179687,0.004923636569845703,93.11296870683624,93.13226936219003
4,259797,93.08236084327376,2.561035144238504,0.005024565040323681,93.07251269579473,93.0922089907528
5,261072,93.13895132377277,2.5925672496274137,0.005073993218568836,93.12900629706438,93.14889635048117
6,268196,93.54411326045133,2.614304630026839,0.005048124345385915,93.53421893673438,93.55400758416828
7,283932,94.0258322415226,2.6331357061128062,0.004941582740664632,94.01614673935089,94.0355177436943
8,292083,94.35402094610093,2.6918830514362972,0.004980845237799432,94.34425848943485,94.36378340276701
9,232935,94.82612746045035,2.8534540273376656,0.005912259739919512,94.8145394313601,94.8377154895406
