game_year,first_pitch_fb_pct,two_strike_breaking_pct,three_oh_fb_pct
2015,67.48719175921595,31.059884263205927,85.1236572570572
2016,66.04465899620084,32.03160347755015,86.01215298463005
2017,65.59216926730909,32.120201613676,96.07003891050584
2018,65.40198588035805,32.76509294370091,95.93517534537726
2019,62.53769740468908,33.07145494830133,95.82168995342649
2020,61.51092661944081,33.90572823015669,94.86731843575419
2021,61.77935472496474,33.57517686294847,94.72251037344398
2022,59.8394258457345,35.34289907524828,94.9131341209173
2023,60.11172879877916,35.475286768722256,94.18032786885246
2024,60.89890977898547,34.76989170823935,94.82708089097304
2025,60.33992471686638,35.196626966387306,93.55110051871583
