metric,value
Pitcher's Count FB%,50.4%
Hitter's Count FB%,67.4%
FB% Difference (Hitter - Pitcher),+17.0%
Two-Strike Breaking Ball %,33.6%
First Pitch FB% (2015),67.5%
First Pitch FB% (2025),60.3%
3-0 Count FB% (2015),85.1%
3-0 Count FB% (2025),93.6%
