game_year,hard_hit_rate,n_batted_balls
2015,31.831255359852236,151590
2016,26.276386390136068,189539
2017,23.997234094792383,199573
2018,25.13984798052561,201290
2019,25.943848527154124,201277
2020,24.60176763783978,77844
2021,23.693624275192313,232303
2022,23.605543854881443,235504
2023,24.145193626675105,236925
2024,23.763891465286093,237196
2025,25.488672644521433,235536
