game_year,mean_pitches,median_pitches,std_pitches,n_games
2019,302.5962093119077,298.0,42.21221015733151,2427
2020,294.2783964365256,293.5,38.94644295764846,898
2021,293.2564841498559,292.0,37.66294204671134,2429
2022,292.26748971193416,289.0,33.54543278602416,2430
2023,296.5777777777778,295.0,34.06501424561167,2430
2024,293.0437113402062,291.0,32.93260799555039,2425
2025,293.20304777594725,291.0,34.06986990298932,2428
