pitcher,n_pitches,consistency_3d,woba_allowed,avg_velocity
669330,342,0.1776424958710166,0.2820987654320988,88.69590643274854
657006,246,0.18484355871369337,0.292,87.47764227642277
643511,978,0.1884723012548343,0.24360269360269357,81.08609406952966
642239,347,0.18965144793265754,0.2797752808988764,87.68011527377521
641745,1113,0.19454134274721913,0.24945454545454543,93.27744833782569
607067,2534,0.1950471346038075,0.3216565349544073,89.42513812154696
701656,410,0.19529836682420829,0.247979797979798,87.75804878048781
668716,392,0.19611980914645497,0.424731182795699,90.90051020408163
623433,241,0.20183754748311136,0.37704918032786877,90.32821576763484
669704,406,0.20270304086433735,0.24428571428571427,91.17167487684728
701487,544,0.20453097478318255,0.375187969924812,86.1033088235294
573124,894,0.20462460322634435,0.34861751152073733,85.33534675615213
663372,522,0.20480927174694816,0.34067164179104475,88.5264367816092
656186,456,0.20514064236562965,0.30714285714285716,93.82938596491228
656730,753,0.2082889430258804,0.26587301587301587,94.58260292164677
666215,256,0.20912406311687282,0.47651515151515145,91.423828125
694851,245,0.20918120097438003,0.41557377049180333,90.6742857142857
518876,2834,0.2120074199965507,0.2999327956989247,89.30430486944249
643377,1093,0.21201009037730179,0.3137184115523466,91.66953339432754
663878,263,0.2120877598802909,0.4057142857142857,93.52509505703422
