game_year,consistency_3d_mean,consistency_3d_median,consistency_3d_std,horizontal_std_mean,horizontal_std_median,release_x_mean_mean,release_x_mean_std,release_y_mean_mean,release_y_mean_std,release_z_mean_mean,release_z_mean_std,arm_angle_est_mean,arm_angle_est_std,avg_velocity_mean,n_pitchers
2015,0.3065745803383722,0.278537998878062,0.14980365846860952,0.3065745803383722,0.278537998878062,-0.7150138858720193,1.8987107623489656,54.5,0.0,5.977293716909674,0.4741500070567301,29.924790615125715,17.628860146669734,88.81748287083015,583
2016,0.32545750782751387,0.29250155583594123,0.17790405046503543,0.3247314347464881,0.29208362414407885,-0.8169664623195959,1.9357017733427597,54.50011505085082,0.0015441609410173443,5.986152625493561,0.479482833143452,29.21718514657221,17.183048573239514,88.85385350899142,589
2017,0.429975476334115,0.4111817238048132,0.0950589809918093,0.30165397057739657,0.26914531079748855,-0.8559547755254189,1.9285814250572626,54.458741230303524,0.41553645730510697,5.8797777179257675,0.4839505110112502,26.854253929251293,17.301314089322723,88.7748849914529,594
2018,0.4079312451041119,0.3832942261017054,0.16446594025004907,0.2824980369074806,0.24884882528126634,-0.8635361013434198,1.9320940505694129,54.50790074409372,0.40643549557710346,5.835147579999674,0.54962964602114,25.483817035303087,17.849591629923314,88.81469246103049,610
2019,0.4033729252093527,0.3849688031045107,0.08517725639502506,0.2663011821338173,0.23950179387980303,-0.8155169894948937,1.94662389156904,54.50942337332402,0.4052829447729614,5.859128708897021,0.534302435322001,26.03652541879989,16.988412173379956,88.92571493706419,633
2020,0.29609115759969745,0.27420224395003784,0.08698908897879208,0.2317408415663603,0.20791651702198805,-0.8174367370535642,1.9103195420840544,54.18285295768155,0.4162278034746661,5.82047574061776,0.5593015091422691,25.786775607638123,17.531944653814552,88.60688894257137,465
2021,0.31560361166318107,0.29143819055358494,0.09888908072210667,0.258117699875594,0.22878912090463993,-0.7199682967556698,1.8966691922567012,54.2007566041966,0.4123188136342672,5.830570226571731,0.5420955759470091,26.682094751217946,17.6104754555801,88.96499129771236,652
2022,0.3169483538123381,0.291890840512221,0.09334297254790117,0.2630817602703244,0.23660913855713808,-0.8649494543646424,1.840299575838203,54.18750339994581,0.4040813122061667,5.751492967570489,0.5739061590448264,24.85348363813418,18.473073324960158,89.1609027062072,631
2023,0.3283506416285039,0.3119548539068343,0.08811192992999362,0.25830751225950693,0.2340093323471543,-0.8352040157846263,1.8766877353234706,54.08209461421661,0.409015534753103,5.741532702466696,0.5479259251399887,24.239184822268363,18.187328086534514,89.19526445911046,642
2024,0.3168206992118343,0.29551163010496445,0.09211798719188212,0.2572410338211521,0.2317205661702136,-0.845032388430615,1.8846261748658233,54.05853653284963,0.41457038633829085,5.745106059375763,0.5313544283574075,24.06436882713635,18.201604294832368,89.33252192011479,625
2025,0.31398315504360397,0.2953257125603209,0.0871300897999694,0.2599492397445979,0.2374862754049173,-0.8340227157755047,1.8866594910759407,54.07562640767063,0.42069576148988136,5.749036640529594,0.5140944033537113,24.17051729052336,18.048665229360942,89.6112615627791,640
