metric,value
First Pitch FB% (2015),67.5%
First Pitch FB% (2025),60.3%
FB% Change,-7.1%
First Pitch Strike% (2015),49.5%
First Pitch Strike% (2025),50.5%
Strike% Change,+1.0%
First Pitch 4-Seam Velo (2025),94.21 mph
