game_year,n_sweet_spot,sweet_spot_rate,n_batted_balls
2015,51322,33.85490190904653,151594
2016,62528,32.988298355016724,189546
2017,68968,34.55604936292169,199583
2018,68417,34.00126230624345,201219
2019,68855,34.20890509643379,201278
2020,21118,27.12861620677252,77844
2021,70092,30.17279231345404,232302
2022,70990,30.099511980021287,235851
2023,71340,30.070180614976078,237245
2024,71030,29.90699064853918,237503
2025,71605,30.351133001585268,235922
