game_year,pitch_type,pitch_category,n_pitches,woba,batting_avg,whiff_rate,strike_rate,called_strike_rate,zone_rate,avg_velocity
2015,CH,Offspeed,74156,0.30084792122538295,0.23991851232762224,0.297123284143295,0.6261664598953557,0.10248664976535951,0.3938049517233939,83.99798397971843
2015,CU,Breaking,52842,0.2601134443639875,0.20976461781585296,0.30087053675340997,0.5949434162219447,0.18841073388592408,0.427992884447977,78.16054653495326
2015,FC,Fastball,40063,0.31851041058571705,0.25582834743140087,0.20074887668497254,0.6571400044929236,0.1571774455233008,0.4966677482964331,88.36621820632504
2015,FF,Fastball,249546,0.3503791540281991,0.2687002065506049,0.15974249953042022,0.6564681461534146,0.18705168586152454,0.5379489152300578,93.12013336218573
2015,FS,Offspeed,11081,0.2769996981587685,0.22236180904522612,0.30425531914893617,0.6430827542640556,0.0915982312065698,0.3843515928165328,84.99196823391391
2015,KC,Breaking,16160,0.2574689322850621,0.2138910812943962,0.32490272373540857,0.6003712871287129,0.18663366336633663,0.4256188118811881,80.72865717821783
2015,SI,Fastball,149318,0.35863768990844147,0.2908106037808114,0.11875439831104856,0.6470083981837421,0.19013112953562197,0.5021095916098528,92.13302615893598
2015,SL,Breaking,100086,0.27081477600209586,0.21551860025220682,0.32533587306733674,0.642067821673361,0.14895190136482625,0.44529704454169416,84.81635193733388
2016,CH,Offspeed,72507,0.30586097461097456,0.23946928428887332,0.29838945050279925,0.622850207566166,0.10298316024659689,0.40299557284124293,84.17013391810445
2016,CU,Breaking,61141,0.26738474493018033,0.21231873443679508,0.30553403205415763,0.5929736183575669,0.19190068857231646,0.4305130763317577,78.02325280908066
2016,FC,Fastball,37470,0.31982776402640267,0.25380710659898476,0.21795970852978996,0.6488924472911662,0.15070723245262876,0.48657592740859357,88.63021617293835
2016,FF,Fastball,258392,0.3602227063664973,0.2721056439942113,0.16397925194305885,0.6525434223969783,0.18541208706151893,0.5382209975541038,93.22612426081302
2016,FS,Offspeed,10290,0.2916981132075472,0.22454212454212455,0.31742243436754175,0.6155490767735665,0.08620019436345967,0.3733722060252673,84.97490767735667
2016,KC,Breaking,16206,0.2588529638183218,0.21861587982832617,0.31549925484351715,0.6055781809206466,0.19147229421202025,0.4432309021350117,80.6449833395039
2016,SI,Fastball,144394,0.3671163179042947,0.2928245064513348,0.12531840575952166,0.6421319445406318,0.1880064268598418,0.5059420751554774,92.38701054060417
2016,SL,Breaking,104466,0.27786366313309774,0.21645677860696516,0.3270218040562962,0.6410123868052764,0.15060402427584094,0.4473130013592939,84.9495979553156
2016,ST,Breaking,1663,0.21680497925311204,0.1568627450980392,0.3903030303030303,0.6686710763680096,0.17257967528562837,0.46181599518941674,82.38376428141913
2017,CH,Offspeed,70659,0.31517739469661027,0.2447860735884248,0.29390324718356525,0.6139203781542337,0.10136005321332031,0.41820574873689126,84.17458780905476
2017,CU,Breaking,54860,0.2805668650172252,0.2196555721145885,0.30032748112435187,0.5951330659861466,0.1942763397739701,0.4500364564345607,77.76222201968648
2017,FC,Fastball,40023,0.31797870317550864,0.2484312313547989,0.24040693367573707,0.6456787347275317,0.13964470429503037,0.46763111211053643,88.34330260100442
2017,FF,Fastball,248933,0.3636624799572421,0.26823090254632714,0.17236973002641418,0.6496527177995686,0.18119735029104217,0.5307171005852981,93.22639505409087
2017,FS,Offspeed,12379,0.2873446980641433,0.218500307314075,0.34473764958576253,0.6110348170288392,0.08449794005977866,0.4063333064060102,84.56958558849664
2017,KC,Breaking,22006,0.2694294525828836,0.21852683125892675,0.3257318276504769,0.6163773516313733,0.20185403980732528,0.4613287285285831,80.45426701808599
2017,SI,Fastball,150414,0.3743966291014262,0.294896559446824,0.1253642607154886,0.644208650790485,0.19008868855292727,0.5114749956785938,92.17839415476055
2017,SL,Breaking,109906,0.2855950997993453,0.2168383712592928,0.3405446437043363,0.6289829490655651,0.14947318617727876,0.4498298546030244,84.53585336560333
2017,ST,Breaking,3574,0.23873015873015876,0.1782065834279228,0.36875,0.630106323447118,0.18242865137101288,0.4560716284275322,81.5547006155568
2018,CH,Offspeed,74404,0.3062953573913908,0.238336443615036,0.2934455014807244,0.6125477124885759,0.09968550077952798,0.4069404870705876,84.22336164722326
2018,CU,Breaking,55450,0.2833439136644977,0.22202561509942703,0.3006285870456409,0.5893417493237151,0.19341749323715057,0.44041478809738505,78.06527682596933
2018,FC,Fastball,42460,0.32177991203662154,0.25004906771344454,0.23357664233576642,0.6522845030617052,0.1456900612341027,0.4797691945360339,88.59836081017428
2018,FF,Fastball,252979,0.3558305107040679,0.26162168253789375,0.1803766188782536,0.652745880092814,0.1847663244775258,0.5361275046545365,93.14330596610785
2018,FS,Offspeed,10649,0.2583656330749354,0.19689655172413792,0.3471611882580418,0.6073809747394121,0.07315240867687106,0.37177199737064515,85.1099539862898
2018,KC,Breaking,20118,0.27351495288816063,0.2149390243902439,0.3420597393610887,0.6215826622924744,0.19057560393677303,0.4574510388706631,80.89338403419823
2018,SI,Fastball,140146,0.3609807364836101,0.28482049754208255,0.12965227479384192,0.6474034221454769,0.19219956331254548,0.5187661438785267,92.19206684457637
2018,SL,Breaking,113801,0.2745297433111504,0.21156224987266245,0.33940243613786575,0.6313301289092363,0.14866301702094006,0.4458572420277502,84.44768147907311
2018,ST,Breaking,5049,0.23786959818043973,0.1610239471511148,0.3742249778565102,0.6322043969102793,0.18498712616359675,0.43909685086155675,81.0816597346009
2019,CH,Offspeed,78855,0.3061368765255838,0.23546626984126984,0.2894164242231621,0.6163210956819479,0.09755881047492232,0.39184579291103927,84.5421114704204
