pitch_type,woba_2015,woba_2025,woba_slope,woba_r2,woba_p,whiff_2015,whiff_2025,whiff_slope,whiff_r2,whiff_p
FF,0.3503791540281991,0.34242082863937917,-0.0017104555252186657,0.29569828930994724,0.08378786952962243,0.15974249953042022,0.18499174872603957,0.0027396856759511596,0.5418559553995408,0.009798120280380093
SL,0.27081477600209586,0.30039544861033396,0.0023877938778533144,0.7077426103599465,0.0011710908506305552,0.32533587306733674,0.313623628297922,-0.0014272471460010589,0.1945543362669977,0.17446540865815854
CH,0.30084792122538295,0.28783459950033147,-0.0014614548014950512,0.4437162453550868,0.02523387171935018,0.297123284143295,0.29221537375437834,-0.0006432040181690937,0.15441957483174032,0.23187320410740242
CU,0.2601134443639875,0.29202660677263304,0.0024020087422233537,0.5473655552795698,0.009244207971881203,0.30087053675340997,0.29516760992599045,-0.0009685172767944878,0.29278336349700756,0.08563531904278064
SI,0.35863768990844147,0.35329944244014433,-0.0013064940534005935,0.25991512874970146,0.10914527748152378,0.11875439831104856,0.11979073064557999,-0.0002319877102180691,0.011408445903799224,0.7546048345386905
FC,0.31851041058571705,0.357820248722057,0.003649760253014605,0.8264644080664739,0.00010554283465126877,0.20074887668497254,0.20169369778080223,-0.0011904037719826523,0.08168967276063731,0.39421099035864904
ST,,0.28263012136515436,0.006846507321239245,0.9281831852805408,7.492662585208013e-06,,0.2998760293987426,-0.01091836594429182,0.9277537891191415,7.674876369661212e-06
FS,0.2769996981587685,0.2671104989286808,-0.0026420314982570636,0.37768634045797495,0.04422793335359933,0.30425531914893617,0.32649207782612266,0.0009577720786431755,0.04353320567880447,0.5381068008851033
