metric,value
2015 Average Arsenal,3.98 types
2025 Average Arsenal,4.25 types
Change in Arsenal Size,+0.27 types
Trend Slope,0.0206 types/year
Trend R-squared,0.1549
% with 4+ Pitches (2015),64.8%
% with 4+ Pitches (2025),71.7%
