year,pitcher,total_pitches,arsenal_size,primary_pitch,primary_pct
2015,430935,3338,5,FF,31.246255242660276
2015,474284,377,4,FF,38.9920424403183
2015,573046,554,3,FF,38.628158844765345
2015,459987,789,4,FF,44.9936628643853
2015,592135,632,3,FF,64.08227848101265
2015,572070,3250,5,SL,33.26153846153846
2015,429719,876,5,FF,59.018264840182646
2015,605538,1771,5,FF,36.47656691134952
2015,543779,1282,3,FF,74.18096723868955
2015,518553,950,2,SI,56.52631578947368
2015,595307,968,4,SI,43.595041322314046
2015,458681,3052,6,FF,56.15989515072084
2015,453286,3353,5,FF,59.2901878914405
2015,448614,921,5,FC,38.870792616720955
2015,592340,499,3,FF,55.11022044088176
2015,570663,890,2,FF,70.11235955056179
2015,518774,2786,5,FF,38.98061737257717
2015,532077,1090,4,FF,61.65137614678899
2015,517008,1699,5,FF,52.67804590935845
2015,450275,814,3,SL,49.26289926289926
2015,446399,809,5,CU,39.060568603213845
2015,459429,619,3,FF,60.096930533117934
2015,115629,556,3,FF,73.38129496402878
2015,462136,2913,4,FF,53.209749399244764
2015,544993,1104,3,FF,63.677536231884055
2015,592677,253,3,SL,51.77865612648221
2015,460156,946,5,SL,30.021141649048626
2015,502042,3449,3,FF,53.957668889533196
2015,445276,795,3,FC,80.62893081761007
2015,518875,798,2,SL,54.88721804511278
2015,425844,3236,5,FF,43.66501854140915
2015,572362,219,3,FF,63.4703196347032
2015,467094,1268,5,FF,33.201892744479494
2015,500724,403,4,FF,61.53846153846154
2015,519381,489,2,SL,54.601226993865026
2015,346847,698,5,SI,37.53581661891118
2015,465629,702,4,FF,34.33048433048433
2015,472551,833,5,SI,34.57382953181273
2015,605476,1068,3,SI,51.02996254681648
2015,543056,265,3,FF,44.15094339622642
2015,504186,426,4,FF,57.27699530516433
2015,543594,499,4,FF,49.899799599198396
2015,543964,274,2,FF,52.18978102189781
2015,606273,1842,4,FF,29.207383279044517
2015,476454,1368,3,FF,48.24561403508772
2015,622663,1025,4,FF,50.73170731707317
2015,434622,3056,5,SI,39.332460732984295
2015,573109,1087,5,FF,41.766329346826126
2015,429780,451,5,FF,25.72062084257206
2015,623395,443,2,FF,75.84650112866818
2015,593576,681,4,FF,29.955947136563875
2015,594977,235,3,FF,63.829787234042556
2015,421685,2843,5,FF,34.998241294407315
2015,543408,2975,5,FF,41.78151260504202
2015,451584,1050,3,FF,54.38095238095239
2015,516969,1089,4,FF,60.42240587695134
2015,543859,362,2,FF,71.8232044198895
2015,518633,2358,5,FF,44.44444444444444
2015,570649,2651,5,FF,29.460580912863072
2015,543507,1863,5,FF,47.66505636070853
2015,425840,1072,3,SL,51.49253731343284
2015,430641,931,4,FF,35.12352309344791
2015,543548,2066,5,FF,57.502420135527586
2015,502381,867,3,SI,43.944636678200695
2015,518567,1925,3,FC,66.28571428571428
2015,501789,1127,3,FC,67.08074534161491
2015,456696,587,3,FF,53.15161839863713
2015,519186,233,3,FF,48.06866952789699
2015,543521,3240,5,FC,39.69135802469136
2015,611093,215,2,FF,72.55813953488372
2015,594857,210,2,FF,70.95238095238095
2015,476451,2478,4,FF,41.727199354318
2015,491703,832,4,FF,56.85096153846154
2015,518858,281,2,SI,54.092526690391466
2015,572403,408,4,FF,33.088235294117645
2015,502593,790,3,SI,72.15189873417721
2015,435043,1053,5,SI,49.192782526115856
2015,605304,637,3,FF,69.85871271585557
2015,434378,2150,4,FF,58.55813953488372
2015,433586,907,5,SI,42.55788313120176
2015,545064,277,3,SL,39.71119133574007
2015,623184,1004,5,FF,49.40239043824701
2015,543734,2148,5,SI,27.932960893854748
2015,408241,1741,6,FC,30.786904078116024
2015,547973,1166,3,FF,75.38593481989709
2015,491708,1116,4,FF,45.878136200716845
2015,547179,1994,6,FF,58.67602808425276
2015,430599,1152,5,SL,30.90277777777778
2015,488674,1048,3,SI,58.587786259541986
2015,453172,966,4,SI,77.63975155279503
2015,150359,2499,4,SI,49.93997599039616
2015,605232,751,3,SI,71.1051930758988
2015,444468,1074,4,SL,35.38175046554935
2015,408061,828,4,CH,42.51207729468599
2015,407845,1100,3,SI,50.36363636363637
2015,502026,1065,3,SI,49.2018779342723
2015,467008,1058,4,SL,48.20415879017013
2015,543294,2793,5,SI,60.544217687074834
2015,621281,247,4,FF,40.89068825910931
2015,592390,392,3,FF,67.85714285714286
2015,446372,3272,5,SI,31.41809290953545
2015,518927,796,5,SI,47.73869346733669
2015,598264,790,3,FF,61.64556962025316
2015,444520,1028,5,FF,42.704280155642024
2015,501925,996,3,SI,50.602409638554214
2015,456027,384,3,FF,59.114583333333336
2015,474521,1169,4,FF,61.42001710863987
2015,502009,1803,7,FF,26.6777592900721
2015,473879,1106,5,SI,54.52079566003617
2015,605309,1031,4,FF,55.57710960232784
2015,518617,1096,3,SI,71.8978102189781
2015,641627,728,3,SI,81.86813186813187
2015,592346,1048,5,FF,50.47709923664122
2015,501625,1015,5,FF,30.24630541871921
2015,477569,1035,3,FF,57.29468599033817
2015,502327,3159,5,SI,60.87369420702754
2015,518693,693,4,FS,32.467532467532465
2015,407890,3176,5,FF,45.56045340050378
2015,553878,761,3,FF,73.85019710906701
2015,445163,604,4,FF,46.688741721854306
2015,514669,247,2,FF,69.23076923076923
2015,594840,308,2,SI,71.75324675324676
2015,592789,2380,5,FF,37.81512605042017
2015,461829,2947,4,FF,33.118425517475394
2015,543118,298,2,FS,55.369127516778526
2015,455119,391,4,FF,53.70843989769821
2015,571710,466,3,FF,62.44635193133047
2015,612672,3009,5,FF,43.53605849119309
2015,592741,1110,3,FF,49.90990990990991
2015,467100,1529,4,SI,46.23937213865271
2015,429400,393,4,FF,41.73027989821883
2015,457768,1006,4,FC,37.57455268389662
2015,592593,1046,4,FF,56.118546845124285
2015,518603,1445,4,FF,47.95847750865052
2015,594742,501,4,FF,44.510978043912175
2015,489446,408,4,FF,55.88235294117647
2015,571479,346,3,FF,57.51445086705203
2015,541640,2409,5,FF,39.643005396430055
2015,455009,997,4,FF,49.14744232698094
2015,329092,406,2,SI,60.83743842364532
2015,592181,218,2,SI,69.26605504587155
2015,527054,3272,5,FF,42.298288508557455
2015,279571,594,4,FF,40.909090909090914
2015,448802,1853,6,SI,33.405288720992985
2015,622072,2908,3,SI,58.73452544704264
2015,456496,477,3,SL,52.620545073375254
2015,543391,201,4,FF,38.80597014925373
2015,448281,254,2,FF,82.28346456692913
2015,543144,824,4,FC,40.29126213592233
2015,605156,885,5,FF,40.90395480225989
2015,547874,1865,6,SI,35.60321715817694
2015,448178,1162,4,FF,64.45783132530121
2015,425492,897,3,FF,49.609810479375696
2015,450282,834,3,FF,64.98800959232614
2015,429722,1673,4,FF,51.10579796772265
2015,432934,1986,3,FF,57.95568982880162
2015,592826,976,4,FF,66.90573770491804
2015,491159,411,3,FF,68.61313868613139
2015,542609,514,2,SL,50.19455252918288
2015,572971,3486,5,SI,50.315547905909355
2015,543903,517,4,SI,33.65570599613153
2015,523989,3014,5,FF,44.42601194426012
2015,502085,981,3,FC,59.73496432212029
2015,430580,3057,6,FS,33.56231599607458
2015,458006,566,3,SI,66.07773851590106
2015,519242,3320,3,SI,52.37951807228916
2015,453156,574,3,SI,53.83275261324042
2015,452718,2220,4,SI,44.23423423423423
2015,518790,2789,5,SI,58.264610971674436
2015,444446,280,4,FF,63.92857142857142
2015,455374,1057,3,FF,74.17218543046357
2015,571561,666,2,FF,84.23423423423422
2015,572102,1044,4,FF,62.26053639846744
2015,434538,2982,4,SI,43.7290409121395
2015,502239,678,5,SI,51.62241887905604
2015,572788,761,5,FF,44.678055190538764
2015,453562,3433,5,SI,33.06146227789106
2015,516414,499,4,FF,39.078156312625254
2015,542669,234,3,FF,50.85470085470085
2015,458708,948,6,FF,43.9873417721519
2015,596064,1050,4,FF,59.80952380952381
2015,527048,1213,5,SI,36.02638087386645
2015,450308,2447,6,FF,24.274621986105434
2015,594792,608,3,FF,48.51973684210527
2015,543901,407,3,SI,60.93366093366094
2015,544931,2042,4,FF,52.84035259549461
2015,451085,833,5,FF,48.97959183673469
2015,544759,635,3,FF,63.1496062992126
2015,592869,520,4,FF,53.26923076923077
2015,425532,1975,6,SI,33.620253164556964
2015,431162,385,5,SI,51.688311688311686
2015,595191,739,5,FF,49.25575101488498
2015,543219,864,5,SL,31.01851851851852
2015,608648,906,5,KC,39.845474613686534
2015,545333,2867,5,FF,41.01848622253226
2015,518886,1008,2,FF,69.44444444444444
2015,276542,1036,4,FF,37.83783783783784
2015,462945,371,3,FF,65.49865229110512
2015,453178,2908,5,FF,59.2503438789546
2015,346798,2540,5,SI,43.74015748031496
2015,543380,2042,4,FF,55.04407443682664
2015,502202,1139,3,FF,60.7550482879719
2015,458584,739,2,CU,51.96211096075778
2015,445197,986,2,FF,61.561866125760645
2015,607457,464,2,FF,59.91379310344828
2015,543606,2754,6,FF,36.02033405954975
2015,605228,992,4,FF,48.58870967741936
2015,474463,2714,5,SI,28.739867354458365
2015,285064,2309,5,FF,41.1433521004764
2015,218596,1851,5,SI,47.21772015126958
2015,450665,927,4,SI,39.482200647249186
2015,433579,2918,5,FF,34.2357779300891
2015,457429,656,3,SL,52.13414634146341
2015,571578,1254,4,SI,40.98883572567783
2015,571735,1300,4,FF,42.46153846153846
2015,448159,497,4,FF,49.094567404426556
2015,453385,615,5,SI,67.47967479674797
2015,434628,2747,5,FF,39.13360029122679
2015,543424,911,4,FF,56.09220636663008
2015,476589,2158,6,FF,32.66913809082484
2015,466948,867,4,FF,51.326412918108424
2015,448179,434,3,FF,46.31336405529954
2015,282332,2703,4,SI,38.17980022197558
2015,502706,909,4,SI,57.97579757975797
2015,571760,1645,3,SI,62.796352583586625
2015,519455,3101,4,FF,61.17381489841986
2015,554234,1870,3,SI,71.3903743315508
2015,504083,292,3,FF,52.73972602739726
2015,573186,373,6,SI,41.28686327077748
2015,605541,785,5,FF,54.267515923566876
2015,592329,493,4,FF,33.67139959432049
2015,456068,2439,5,FF,42.76342763427634
2015,453646,927,5,SL,36.67745415318231
2015,543746,535,5,SI,41.6822429906542
2015,474699,1143,5,SI,52.84339457567804
2015,450203,1995,5,SI,60.75187969924812
2015,519096,727,5,SI,57.9092159559835
2015,458730,408,2,FF,70.58823529411765
2015,502272,985,4,FF,52.182741116751274
2015,425856,218,4,FF,50.917431192660544
2015,502043,3228,5,SI,37.9182156133829
2015,444436,671,3,SI,61.54992548435171
2015,471911,2775,5,FF,33.8018018018018
2015,592804,645,3,FF,53.48837209302325
2015,608349,831,2,FF,67.87003610108303
2015,605200,539,3,SI,63.26530612244898
2015,488768,3105,5,FF,40.193236714975846
2015,543272,1550,5,SI,36.45161290322581
2015,592767,1134,4,FF,54.58553791887125
2015,543054,1169,4,FF,53.55004277159966
2015,502190,2754,7,SI,46.07843137254902
2015,571893,483,3,FF,74.74120082815735
2015,516910,1181,5,FC,30.05927180355631
2015,462382,1054,4,SI,65.18026565464896
2015,502211,1778,4,FC,38.30146231721035
2015,500779,3373,4,FF,51.02282834272162
2015,543716,452,3,FF,59.73451327433629
2015,451661,860,4,FF,66.62790697674419
2015,431148,2940,6,SI,55.91836734693878
2015,519169,331,3,FF,55.89123867069487
2015,543456,1009,5,SI,38.75123885034688
2015,451596,3226,5,SL,31.897086174829507
2015,571510,1003,4,FF,56.82951146560319
2015,543184,975,5,FF,42.256410256410255
2015,518452,1879,5,FF,48.85577434805748
2015,502624,2460,4,FF,41.7479674796748
2015,452657,3183,5,FF,45.20892240025133
2015,543101,2909,6,FF,33.516672396012375
2015,543726,1006,3,FF,61.0337972166998
2015,598287,249,3,SI,51.80722891566265
2015,489119,3194,5,FF,34.439574201628055
2015,547888,2290,6,FS,28.209606986899566
2015,447755,543,3,FF,57.4585635359116
2015,592332,1875,5,FF,67.41333333333334
2015,285079,3261,3,KN,86.50720637841152
2015,518771,436,2,FF,52.752293577981646
2015,543037,3237,6,FF,50.602409638554214
2015,462515,492,3,FF,39.83739837398374
2015,608379,2935,4,FF,57.9557069846678
2015,542866,528,3,FF,72.53787878787878
2015,594736,1293,4,FF,53.75096674400619
2015,461833,2254,6,FF,45.474711623779946
2015,460059,2663,5,SI,61.54712730003755
2015,592533,498,4,FF,60.24096385542169
2015,571439,394,3,FF,64.72081218274111
2015,607374,651,4,SI,45.622119815668206
2015,475115,3227,5,SL,44.80942051440967
2015,518516,3307,6,FF,48.684608406410646
2015,501955,537,3,FF,44.50651769087523
2015,502188,3339,6,FF,40.97035040431267
2015,571666,3039,4,FF,58.144126357354395
2015,456379,1077,3,SL,55.71030640668524
2015,543278,968,4,FF,41.83884297520662
2015,452733,674,4,SI,43.17507418397626
2015,571656,697,4,FF,53.80200860832137
2015,572096,1205,4,FF,73.60995850622407
2015,519326,736,4,FF,61.684782608695656
2015,607259,2116,5,FF,38.98865784499055
2015,489294,688,3,FF,62.2093023255814
2015,542914,1049,5,SL,30.219256434699716
2015,592705,280,3,FF,56.07142857142857
2015,593958,2009,4,FF,66.40119462419113
2015,407819,593,4,FF,35.413153456998316
2015,449097,901,3,FF,65.37180910099889
2015,491646,1173,3,SI,63.34185848252344
2015,450729,1654,5,SI,63.30108827085853
2015,621962,407,4,FF,53.31695331695332
2015,448306,3334,5,FF,24.80503899220156
2015,468504,426,5,SI,27.230046948356808
2015,643327,574,5,FC,35.36585365853659
2015,456034,3386,5,FF,34.90844654459539
2015,519141,1442,4,FF,59.91678224687933
2015,434718,1027,3,SI,40.116845180136316
2015,433587,3040,5,SI,33.881578947368425
2015,488984,880,4,FF,34.20454545454545
2015,605400,1117,4,FF,31.96060877350045
2015,425386,2474,6,FF,28.819725141471302
2015,573185,291,3,FF,47.07903780068728
2015,543243,3077,6,FF,37.081572960675985
2015,447714,557,3,SI,59.42549371633752
2015,543331,1118,4,FF,68.96243291592128
2015,543935,1014,4,SL,38.26429980276134
2015,593372,2839,4,FF,31.384290243043324
2015,607074,2441,4,SI,31.7083162638263
2015,605374,462,3,FF,63.63636363636363
2015,516970,416,4,FF,36.29807692307692
2015,502462,259,4,SL,47.10424710424711
2015,628333,2087,7,SI,29.85146142788692
2015,542432,215,3,FF,59.53488372093023
2015,572020,1110,5,FF,66.30630630630631
2015,502046,2776,4,SI,58.03314121037464
2015,571927,576,3,SI,68.05555555555556
2015,475054,701,3,SI,45.6490727532097
2015,605452,1153,3,SI,57.7623590633131
2015,573127,520,3,SL,41.53846153846154
2015,592815,263,3,FF,59.6958174904943
2015,543881,786,5,SI,40.33078880407125
2015,592351,680,3,FF,62.5
2015,503449,1754,4,SI,33.75142531356899
2015,541652,578,3,FF,59.16955017301038
2015,533167,2089,5,FF,31.73767352800383
2015,605388,1246,4,FF,56.581059390048146
2015,518813,717,3,SL,46.72245467224547
2015,519076,2791,5,SI,36.36689358652813
2015,407822,2455,7,FS,34.623217922606926
2015,475857,209,4,FF,53.588516746411486
2015,523260,2378,5,SI,33.47350714886459
2015,612434,293,3,FF,59.38566552901023
2015,592836,2630,5,FF,62.81368821292775
2015,628452,1565,4,SI,40.319488817891376
2015,445926,2572,6,FF,30.13219284603422
2015,547749,954,4,FF,60.167714884696025
2015,446321,1169,4,SI,43.883661248930714
2015,467785,388,4,FF,59.27835051546392
2015,519322,857,4,FF,35.70595099183197
2015,501992,2412,3,FF,57.91873963515754
2015,607067,525,5,FF,34.85714285714286
2015,449170,217,2,FF,62.67281105990783
2015,544365,470,4,FF,56.17021276595745
2015,543135,2638,6,FF,47.043214556482184
2015,490063,2392,5,FF,43.22742474916388
2015,543607,239,4,SI,35.146443514644346
2015,493159,532,6,FF,50.0
2015,444857,1764,5,FC,38.66213151927438
2015,460701,544,6,FF,40.80882352941176
2015,519267,921,3,FF,49.294245385450594
2015,502010,308,3,FF,42.532467532467535
2015,542587,616,3,FF,61.201298701298704
2015,607359,477,3,FF,63.941299790356396
2015,571787,536,4,FF,59.70149253731343
2015,543557,1452,4,FF,37.05234159779614
2015,592454,654,4,FF,49.38837920489297
2015,592314,1480,5,FF,50.4054054054054
2015,608665,1898,5,SI,50.15806111696522
2015,435400,801,4,FF,76.2796504369538
2015,430911,492,3,FF,66.05691056910568
2015,429783,699,4,FF,61.659513590844064
2015,572309,201,5,SI,25.37313432835821
2015,518420,234,5,FF,38.46153846153847
2015,434671,2532,7,FF,35.308056872037916
2015,475479,1855,6,FF,29.110512129380055
2015,572750,1356,5,FF,42.99410029498525
2015,518468,863,4,FF,31.86558516801854
2015,453214,1178,3,KN,74.02376910016977
2015,445612,617,3,FF,70.98865478119936
2015,543506,790,4,SL,42.65822784810126
2015,475416,1010,4,SI,37.722772277227726
2015,592879,311,4,FF,58.842443729903536
2015,493157,633,3,FS,59.71563981042654
2015,572888,1336,6,SI,38.92215568862276
2015,607309,348,4,FF,46.839080459770116
2015,502578,478,3,SI,44.76987447698745
2015,605169,445,2,FF,64.49438202247191
2015,430630,543,3,FF,60.22099447513812
2015,500610,307,3,FF,46.25407166123778
2015,456776,639,5,FF,47.73082942097027
2015,434643,1594,4,CU,34.253450439146796
2015,450351,2117,6,SI,30.892772791686347
2015,457448,271,3,SI,67.89667896678966
2015,500721,389,2,FF,59.6401028277635
2015,502264,338,3,SI,42.01183431952663
2015,608641,481,4,FF,47.19334719334719
2015,608678,286,4,FF,42.30769230769231
2015,450306,687,4,FF,42.066957787481805
2015,433584,1317,4,FF,31.359149582384205
2015,519168,293,4,FF,62.79863481228669
2015,451532,576,5,FF,30.381944444444443
2015,518863,252,4,SI,34.12698412698413
2015,276351,591,2,FF,65.98984771573603
2015,502260,246,3,FF,63.41463414634146
2015,453329,1716,5,SI,26.689976689976692
2015,605894,553,4,FF,54.06871609403255
2015,519085,655,5,FF,39.083969465648856
2015,518703,301,3,SL,38.53820598006645
2015,457711,1179,5,FF,37.99830364715861
2015,444935,458,3,FF,73.36244541484717
2015,502304,386,2,FF,70.20725388601036
2015,434665,394,5,SI,55.83756345177665
2015,457744,500,3,SL,47.8
2015,429781,421,6,SL,24.70308788598575
2015,519151,424,4,FF,36.32075471698113
2015,445170,279,2,SI,72.40143369175627
2015,534910,1531,5,SI,51.992161985630304
2015,453311,1322,5,CH,27.60968229954614
2015,476570,200,3,FF,34.5
2015,592222,248,4,SI,33.46774193548387
2015,425786,338,3,SL,56.213017751479285
2015,457435,238,3,FF,45.79831932773109
2015,571577,251,4,SI,46.613545816733065
2015,605333,227,2,FF,85.46255506607929
2015,464416,279,3,FF,44.086021505376344
2015,543508,201,2,FF,61.69154228855721
2015,451788,561,5,FC,33.155080213903744
2015,430661,473,4,FF,51.37420718816068
2015,435045,251,3,FF,51.79282868525896
2015,456051,607,4,FF,48.105436573311366
2015,518716,616,6,SI,38.63636363636363
2015,469134,578,5,FF,44.11764705882353
2015,553970,383,5,FF,33.94255874673629
2015,457117,378,3,FF,47.08994708994709
2015,605151,644,2,FF,72.51552795031056
2015,543475,764,5,FF,40.83769633507853
2015,445590,754,5,FF,31.16710875331565
2015,150302,783,3,SI,58.620689655172406
2015,506693,304,4,CH,28.618421052631575
2015,595032,323,5,FF,30.959752321981426
2015,465679,368,4,FC,38.58695652173913
2015,605359,223,4,SI,45.73991031390135
2015,276514,213,4,FF,61.97183098591549
2015,554431,399,4,SL,41.854636591478695
2015,621397,219,4,CU,36.986301369863014
2015,453344,480,4,FF,51.87500000000001
2015,543334,277,3,SI,54.87364620938629
2015,435221,367,4,FF,45.776566757493185
2016,532077,1134,5,FF,57.84832451499118
2016,519141,2840,4,KC,39.04929577464789
2016,607352,1117,4,FF,58.728737690241715
2016,446399,566,4,CU,45.583038869257955
2016,446899,1033,4,SI,56.631171345595355
2016,592717,2919,4,SI,55.94381637547106
2016,598264,1193,4,FF,65.2975691533948
2016,543726,966,3,FF,54.96894409937888
2016,592390,862,3,FF,60.440835266821345
2016,456034,3590,5,SI,36.4066852367688
2016,541640,1358,4,FF,36.37702503681885
2016,517008,860,2,FF,52.32558139534884
2016,605309,632,2,FF,59.33544303797469
2016,543144,670,4,FF,42.08955223880597
2016,502202,471,3,FF,58.81104033970276
2016,516714,467,2,CU,55.6745182012848
2016,543195,220,3,KN,75.45454545454545
2016,518617,932,2,SI,73.28326180257511
2016,502026,867,4,SI,62.86043829296425
2016,623439,695,3,FF,48.776978417266186
2016,600917,264,4,FF,40.909090909090914
2016,595032,238,4,FF,45.378151260504204
2016,527048,3076,5,SI,37.288686605981795
2016,543272,1446,4,SI,32.91839557399723
2016,543339,1113,4,FF,55.70530098831986
2016,517414,1353,4,FF,32.00295639320029
2016,453344,231,3,FF,45.45454545454545
2016,611093,462,3,FF,61.68831168831169
2016,643355,253,2,FF,62.845849802371546
2016,518560,1196,4,SI,62.207357859531776
2016,571863,234,3,SL,40.17094017094017
2016,518883,363,3,SI,57.02479338842975
2016,592866,224,4,FF,41.07142857142857
2016,453281,945,5,CH,29.947089947089943
2016,504379,2165,4,FF,67.52886836027714
2016,455009,1001,3,FF,36.36363636363637
2016,453172,908,4,SI,72.79735682819384
2016,455374,1223,3,FF,64.26819296811121
2016,425794,3183,5,FC,29.87747408105561
2016,285064,1390,5,FF,36.97841726618705
2016,446099,1193,3,FF,75.02095557418274
2016,543056,731,4,SL,36.52530779753762
2016,491708,1102,4,FF,41.28856624319419
2016,521230,1081,5,FF,40.14801110083256
2016,592533,400,4,FF,53.25
2016,640455,2167,3,FF,58.51407475772958
2016,519381,404,2,SI,51.98019801980198
2016,433587,2453,5,SI,32.083163473298
2016,593576,1358,4,FS,49.41089837997055
2016,449104,648,2,FF,81.94444444444444
2016,592527,380,3,SL,38.68421052631579
2016,592340,630,3,FF,51.42857142857142
2016,605396,535,3,FF,67.4766355140187
2016,519294,257,3,FF,63.42412451361867
2016,595191,3026,5,FF,36.15333773959022
2016,460283,728,4,SI,50.137362637362635
2016,593679,323,3,SI,44.27244582043344
2016,445213,828,4,SI,82.6086956521739
2016,571476,465,4,FF,45.376344086021504
2016,573124,1006,3,SI,43.04174950298211
2016,545363,456,5,SI,41.44736842105263
2016,592872,306,3,FF,39.21568627450981
2016,594951,399,4,FF,36.340852130325814
2016,621244,1144,4,FF,39.5979020979021
2016,519242,3357,3,SI,55.40661304736372
2016,608349,612,2,FF,68.95424836601308
