game_year,qs_rate
2015,99.95883079456567
2016,99.91766158913134
2017,100.0
2018,100.0
2019,99.87639060568603
2020,99.94432071269487
2021,99.91766158913134
2022,99.8971193415638
2023,99.95884773662551
2024,99.95876288659794
2025,99.97940691927512
