game_year,n_games,pct_in_5,pct_in_6,pct_in_7,pct_in_8,pct_in_9
2015,2429,2.4083985179086045,2.943598188554961,7.472210786331823,33.71757925072046,68.83491148620831
2016,2429,2.2231370934540964,3.170028818443804,8.213256484149856,33.94400988060931,70.09057225195554
2017,2430,1.625514403292181,2.6543209876543212,7.798353909465021,35.20576131687243,70.45267489711934
2018,2431,1.2751953928424515,2.2830111065405183,7.404360345536816,34.49197860962567,69.66269025092554
2019,2427,1.5451174289245984,2.2249690976514214,8.261227853316852,36.5471775854965,69.44787803873095
2020,898,3.4521158129175946,7.2383073496659245,15.200445434298441,33.12917594654788,60.467706013363035
2021,2429,1.7908604363935776,3.684643886372993,10.333470564018114,32.64717990942775,65.68546727048168
2022,2430,1.337448559670782,2.4897119341563787,8.703703703703704,35.0,69.40329218106996
2023,2430,1.440329218106996,3.168724279835391,9.609053497942387,35.699588477366255,70.41152263374487
2024,2425,1.3608247422680413,2.6597938144329896,9.54639175257732,35.21649484536083,70.06185567010309
2025,2428,1.297364085667216,3.1919275123558486,9.864085667215816,36.38797364085667,69.48105436573312
