game_year,avg_pitchers_per_team
2015,4.109098394400988
2016,4.151502675998353
2017,4.2213991769547325
2018,4.35972850678733
2019,4.409147095179233
2020,4.4315144766147
2021,4.433923425277892
2022,4.295884773662552
2023,4.2446502057613165
2024,4.257319587628866
2025,4.293039538714992
