game_year,events,strikeouts,k_rate
2015,183955,37306,20.279959772770514
2016,184925,38858,21.012843044477492
2017,185544,39949,21.530742034234468
2018,185415,41043,22.13574953482728
2019,186596,42628,22.845077064888848
2020,66602,15544,23.338638479324946
2021,182051,42036,23.090232956698948
2022,182349,40691,22.31490164464845
2023,184376,41743,22.640148392415497
2024,182436,41020,22.484597338244644
2025,183092,40481,22.109649793546414
