pitch_type,woba_value,woba_denom,launch_speed,woba
SI,126858.7,349384,89.19969882352942,0.36309247132095346
FF,217867.95,614548,90.28893809712167,0.3545173851350912
FC,42155.15,125924,87.29382988485656,0.33476660525396273
CH,64242.5,212398,85.93593327913138,0.30246282921684764
SL,85752.8,299063,86.83552928675788,0.28673824578767687
CU,35858.7,127100,86.809919290554,0.28212981904012585
KC,11327.2,41427,87.95801832073283,0.2734255437275207
ST,13932.7,51070,85.26207159177456,0.27281574309770906
FS,10919.5,41074,86.63341491841493,0.26584944246968883
