game_year,n_barrels,barrel_rate,n_batted_balls
2015,7807,5.150075862523913,151590
2016,9116,4.809564258543097,189539
2017,9148,4.583809352013309,199572
2018,9667,4.804266041139665,201217
2019,10608,5.2703488227666355,201277
2020,3746,4.812188479523149,77844
2021,11129,4.790787774429617,232300
2022,10773,4.57446401956663,235503
2023,11700,4.93831329166016,236923
2024,11182,4.714244759608087,237196
2025,12457,5.288833034721102,235534
